mean,max,enemy,run
8.063395257711317,66.57065437104556,7,9
6.784398885043714,66.57065437104556,7,9
9.649929789961517,66.57065437104556,7,9
10.502491473743085,66.57065437104556,7,9
14.211021547546842,90.01504998251862,7,9
15.990136488220273,92.47109579777978,7,9
18.635776406050542,92.47109579777978,7,9
18.848084706759703,92.47109579777978,7,9
20.561788573304508,92.47109579777978,7,9
22.362729966417724,92.47109579777978,7,9
24.55380863594114,92.47109579777978,7,9
27.45513748725094,92.47109579777978,7,9
30.05555921324161,92.47109579777978,7,9
29.768217922043554,92.47109579777978,7,9
30.907545450801834,92.47109579777978,7,9
33.8206257028497,92.47109579777978,7,9
34.35169472896645,92.47109579777978,7,9
33.660168994605,92.47109579777978,7,9
34.39481613516851,92.47109579777978,7,9
36.123259652335356,92.47109579777978,7,9
35.743803801140295,92.47109579777978,7,9
37.97015882819111,92.47109579777978,7,9
38.39930244483792,92.47109579777978,7,9
39.482885017034874,92.47109579777978,7,9
40.42678443319968,92.47109579777978,7,9
39.96805182423437,92.47109579777978,7,9
42.88369564517349,92.47109579777978,7,9
45.28186790556186,92.47109579777978,7,9
44.115916948860274,92.47109579777978,7,9
45.03058267993042,92.47109579777978,7,9
