mean,max,enemy,run
1.8196255418576917,48.39052820481504,3,10
9.234872073022553,74.7994908259573,3,10
15.17872968910459,75.1828888400368,3,10
18.43077682522764,84.6137913760995,3,10
18.754847394883722,84.6137913760995,3,10
20.5180858350184,84.6137913760995,3,10
22.628005708277215,87.7269554658996,3,10
23.800775091103507,87.7269554658996,3,10
24.864459358519596,87.7269554658996,3,10
28.20851476562333,87.7269554658996,3,10
27.47844870979247,87.7269554658996,3,10
29.907713838658502,87.8137913760995,3,10
33.51555032058783,87.8137913760995,3,10
39.57458575370052,88.6015212835077,3,10
33.46021024250339,88.61858578874552,3,10
34.083267854232325,88.61858578874552,3,10
36.502935373536694,88.61858578874552,3,10
38.01984378897151,88.61858578874552,3,10
40.93147196825076,88.61858578874552,3,10
42.703492804829104,88.61858578874552,3,10
41.71839537751625,88.61858578874552,3,10
49.89352095602479,88.61858578874552,3,10
38.444112953721934,90.00763751052513,3,10
48.613956051931815,90.00763751052513,3,10
46.53182659179199,90.00763751052513,3,10
54.0371324738729,90.00763751052513,3,10
50.818387301993035,90.00763751052513,3,10
48.45079723664779,90.00763751052513,3,10
47.97765636206937,90.00763751052513,3,10
51.711933243441464,90.00763751052513,3,10
