mean,max,enemy,run
2.048200352866145,48.394197933704,3,5
13.146315890627362,66.20698639161586,3,5
14.189612317980076,66.20698639161586,3,5
14.620902369504442,66.20698639161586,3,5
17.785545989390926,66.20698639161586,3,5
22.705701029178385,75.04416263053517,3,5
19.768598366865096,85.8467566657122,3,5
22.177183411885622,85.8467566657122,3,5
21.63301656006635,85.8467566657122,3,5
24.417536339074005,86.43879267830492,3,5
26.832898794105414,86.43879267830492,3,5
27.91336691064464,86.43879267830492,3,5
25.10636727196441,86.43879267830492,3,5
27.941006415767262,86.43879267830492,3,5
29.955569152779017,88.01925648420767,3,5
30.463685399727915,88.01925648420767,3,5
30.74812799206155,89.03879267830493,3,5
37.0799223853963,90.3954422374313,3,5
36.10038839925194,90.3954422374313,3,5
39.137298406296175,90.3954422374313,3,5
43.15260999059288,90.3954422374313,3,5
44.5528923308994,92.04416263053517,3,5
39.13564436466271,92.04416263053517,3,5
41.1014603096889,92.04416263053517,3,5
43.47455774394771,92.04416263053517,3,5
35.98214926541425,92.04416263053517,3,5
37.990668295571744,92.04416263053517,3,5
43.23634856211118,92.61103858311013,3,5
37.62118421041126,92.61103858311013,3,5
39.22432044481903,92.61103858311013,3,5
